127.0.0.1 - - [12/Mar/2020:15:32:59 +0530] "GET /jenkins/static/02780800/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:32:59 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:32:59 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.css HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:32:59 +0530] "GET /jenkins/static/02780800/favicon.ico HTTP/1.1" 200 17542
127.0.0.1 - - [12/Mar/2020:15:33:40 +0530] "GET /jenkins/?auto_refresh=true HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:40 +0530] "GET /jenkins/adjuncts/02780800/org/kohsuke/stapler/bind.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:40 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.css HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:40 +0530] "GET /jenkins/static/02780800/scripts/yui/container/assets/container.css HTTP/1.1" 200 2306
127.0.0.1 - - [12/Mar/2020:15:33:40 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:40 +0530] "GET /jenkins/adjuncts/02780800/org/kohsuke/stapler/bind.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/static/02780800/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.css HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/static/02780800/favicon.ico HTTP/1.1" 200 17542
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/ HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/adjuncts/02780800/org/kohsuke/stapler/bind.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/static/02780800/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/static/02780800/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 200 810
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.css HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:41 +0530] "GET /jenkins/adjuncts/02780800/org/kohsuke/stapler/bind.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:42 +0530] "GET /jenkins/static/02780800/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 500 1996
127.0.0.1 - - [12/Mar/2020:15:33:42 +0530] "GET /jenkins/adjuncts/02780800/lib/layout/breadcrumbs.js HTTP/1.1" 500 1996
